,Photo ID #,Date,Title,Keywords
899,40370,2018-10-11,Days of the Mujahid From the Trenches of Wilayat Khorosan,
900,40371,2018-10-11,Days of the Mujahid From the Trenches of Wilayat Khorosan,
901,40372,2018-10-11,Days of the Mujahid From the Trenches of Wilayat Khorosan,
902,40373,2018-10-11,Days of the Mujahid From the Trenches of Wilayat Khorosan,
903,40374,2018-10-11,Days of the Mujahid From the Trenches of Wilayat Khorosan,
904,40375,2018-10-11,Days of the Mujahid From the Trenches of Wilayat Khorosan,
905,40376,2018-10-11,Days of the Mujahid From the Trenches of Wilayat Khorosan,
906,40377,2018-10-11,Days of the Mujahid From the Trenches of Wilayat Khorosan,RPG
907,40378,2018-10-11,Days of the Mujahid From the Trenches of Wilayat Khorosan,
908,40379,2018-10-11,Days of the Mujahid From the Trenches of Wilayat Khorosan,
909,40377,2018-10-11,Days of the Mujahid From the Trenches of Wilayat Khorosan,RPG
910,40378,2018-10-11,Days of the Mujahid From the Trenches of Wilayat Khorosan,
911,40379,2018-10-11,Days of the Mujahid From the Trenches of Wilayat Khorosan,
912,40380,2018-10-11,Days of the Mujahid From the Trenches of Wilayat Khorosan,
913,40456,2018-10-14,Destroying the Leader in the Apostate Taliban Movement Named (Adam Khan) After Capturing Him in Nangarhar,"Hostage Photo,Execution"
914,40457,2018-10-14,Destroying the Leader in the Apostate Taliban Movement Named (Adam Khan) After Capturing Him in Nangarhar,"Hostage Photo,Execution,Aftermath"
915,40587,2018-10-19,Capturing and Killing One of the Elements of the Apostate Afghan Army in Wadi (Badil) in Kunar Region,"Hostage Photo,Execution"
916,40588,2018-10-19,Capturing and Killing One of the Elements of the Apostate Afghan Army in Wadi (Badil) in Kunar Region,"Hostage Photo,Execution,Shooting"
917,40948,2018-10-28,The Martyr Brother Abu Osama al-Badakhshi (May Allah Accept Him) The Raider on the Afghan Security and Employees of the Polytheist Elections Commission in Kabul,Aftermath
918,40985,2018-10-31,The Martyr Brother Omar Karwan (May Allah Accept Him) The Operative of the Martyrdom Operation on Elements of the Afghan Security in a Gate of (Pul-e-Charkhi) Prison in Kabul,Aftermath
919,41220,2018-11-12,The Martyr Julaybib al-Khorosani (May Allah Accept Him) The Raider on a Gathering of the Nonbelievers and Elements of the Afghan Security Apostates in Kabul,Aftermath
920,41324,2018-11-17,Effects of the Explosion of an Explosive Device on Elements of the Apostate Afghan Special Forces in (Bandar) Region in Nangarhar,Aftermath
921,41325,2018-11-17,Effects of the Explosion of an Explosive Device on Elements of the Apostate Afghan Special Forces in (Bandar) Region in Nangarhar,Aftermath
922,41326,2018-11-17,Effects of the Explosion of an Explosive Device on Elements of the Apostate Afghan Special Forces in (Bandar) Region in Nangarhar,Aftermath
923,41327,2018-11-17,Effects of the Explosion of an Explosive Device on Elements of the Apostate Afghan Special Forces in (Bandar) Region in Nangarhar,Aftermath
924,41340,2018-11-19,Caravan of the Martyrs: The Brother Hamza al-Khorosani - May Allah Accept Him -,Aftermath
925,41669,2018-11-28,Caravan of the Martyrs: The Brother Ismail al-Ansari - May Allah Accept Him -,Aftermath
926,41760,2018-12-02,One of the Elements of the Apostate Taliban Movement After Arresting Him in Jabarhar in Nangarhar,"Hostage Photo,Execution"
927,41761,2018-12-02,One of the Elements of the Apostate Taliban Movement After Arresting Him in Jabarhar in Nangarhar,"Aftermath,Hostage Photo,Execution"
928,41812,2018-12-05,Destruction of a Quantity of al-Hashish Drugs in Nangarhar,Governing
929,41813,2018-12-05,Destruction of a Quantity of al-Hashish Drugs in Nangarhar,Governing
930,42098,2018-12-19,Spoils From Allah on the Caliphate Soldiers After Repelling an Attack By the Taliban Apostates in Jabarhar Region,"Captured Weapons,Grenade"
931,42861,2019-01-28,Caravan of the Martyrs: The Brother Haydar al-Kabuli - May Allah Accept Him -,Aftermath
932,42862,2019-01-28,Caravan of the Martyrs: The Brother Abdullah Nuri al-Alami - May Allah Accept Him -,Aftermath
933,43091,2019-02-05,Caravan of the Martyrs: The Brother Qahqa al-Kunari - May Allah Accept Him -,Aftermath
934,43672,2019-03-02,Caravan of the Martyrs: The brother Zayd al-Bajouri (May Allah the Most High Accept Him),Aftermath
935,43743,2019-03-06,Spoils From Allah on the Mujahideen After Their Clashes With Elements of the Apostate Afghan Army in Nangarhar,Captured Weapons
936,43744,2019-03-06,The Inghamasis Abu Bakr al-Khorosani and Arfan al-Khorosani May Allah the Most High Accept Them the Raiders on the Apostates in Nangarhar Airport,"Aftermath,RPG,Grenade,IED"
937,43757,2019-03-08,The Two Inghamasis Mohammed al-Pakistani and Mabraz al-Kabuli May Allah the Most High Accept Them The Raiders on the Nonbeliever Polytheists in Kabul,"Aftermath,Mortar,RPG"
938,43758,2019-03-09,Caravan of the Martyrs: The Brother Hakimullah al-Bajouri - May Allah the Most High Accept Him -,Aftermath
939,43828,2019-03-14,Caravan of the Martyrs: The Brother Zubayr al-Bajouri - May Allah the Most High Accept Him -,Aftermath
940,43758,2019-03-09,Caravan of the Martyrs: The Brother Hakimullah al-Bajouri - May Allah the Most High Accept Him -,Aftermath
941,43828,2019-03-14,Caravan of the Martyrs: The Brother Zubayr al-Bajouri - May Allah the Most High Accept Him -,Aftermath
942,44089,2019-03-26,Caravan of the Martyrs: The Brother Ahmad al-Logari - May Allah Accept Him -,Aftermath
943,44364,2019-04-11,Caravan of the Martyrs: The Brother Abu Bakr al-Khorosani - May Allah the Most High Accept Him -,Aftermath
944,44369,2019-04-13,The Martyr Uthman al-Baluchi the Raider on a Gathering of the Nonbelievers and the Pakistani Army in Quetta City,Aftermath
945,44632,2019-04-17,A Pistol of One of the (Presidential Security) Officers Seized By the Mujahideen After Killing the Apostate in the First District From Kabul City,Captured Weapons
946,44668,2019-04-21,"The Inghamasis (Omar, Asadullah, Uthman and Arshad) -May Allah Accept Them- the Operatives of the Attack on the Communications Ministry Building in Kabul",Aftermath
947,44796,2019-04-27,Caravan of the Martyrs: The Brother Waqas al-Khorosani - May Allah the Almighty Accept Him -,Aftermath
948,45200,2019-05-09,al-Naba 181 Infographic: Knights of Kabul,Infographic
949,45698,2019-05-30,The Martyr (Falah al-Din) - May Allah Accept Him - The Raider on a Gathering of the Trainees in the Afghan Army in Kabul,Aftermath
950,45741,2019-06-02,Picture Report 1: Dairy of the Caliphate Soldiers in Ramadan,
951,45742,2019-06-02,Picture Report 1: Dairy of the Caliphate Soldiers in Ramadan,
952,45743,2019-06-02,Picture Report 1: Dairy of the Caliphate Soldiers in Ramadan,
953,45744,2019-06-02,Picture Report 1: Dairy of the Caliphate Soldiers in Ramadan,
954,45745,2019-06-02,Picture Report 1: Dairy of the Caliphate Soldiers in Ramadan,
955,45746,2019-06-02,Picture Report 1: Dairy of the Caliphate Soldiers in Ramadan,
956,45747,2019-06-02,Picture Report 1: Dairy of the Caliphate Soldiers in Ramadan,
957,45748,2019-06-02,Picture Report 1: Dairy of the Caliphate Soldiers in Ramadan,
958,45749,2019-06-02,Picture Report 1: Dairy of the Caliphate Soldiers in Ramadan,
959,45955,2019-06-06,Picture Report (1): The Blessed Eid al-Fitr Atmosphere in Khorosan Province,
960,45956,2019-06-06,Picture Report (1): The Blessed Eid al-Fitr Atmosphere in Khorosan Province,
961,45957,2019-06-06,Picture Report (1): The Blessed Eid al-Fitr Atmosphere in Khorosan Province,
962,45958,2019-06-06,Picture Report (1): The Blessed Eid al-Fitr Atmosphere in Khorosan Province,
963,45959,2019-06-06,Picture Report (1): The Blessed Eid al-Fitr Atmosphere in Khorosan Province,Children (Jihadi)
964,45960,2019-06-06,Picture Report (1): The Blessed Eid al-Fitr Atmosphere in Khorosan Province,
965,45961,2019-06-06,Picture Report (1): The Blessed Eid al-Fitr Atmosphere in Khorosan Province,
966,45962,2019-06-06,Picture Report (1): The Blessed Eid al-Fitr Atmosphere in Khorosan Province,
967,46262,2019-06-13,The Martyr Hudaydah al-Khorosani - May Allah Accept Him - the Raider on a Gathering of Militia Loyal to the Afghan Government in Jalalabad,Aftermath
968,46727,2019-06-29,Killed From <<Taliban>> Movement Following Their Failed Attempt to Advance in Nangarhar Yesterday,Aftermath
969,46728,2019-06-29,Bodies of Apostates of the Taliban Movement and Spoils From Allah on the Mujahideen in (Shirzad) in Nangarhar,Aftermath
970,46729,2019-06-29,Bodies of Apostates of the Taliban Movement and Spoils From Allah on the Mujahideen in (Shirzad) in Nangarhar,Aftermath
971,46728,2019-06-29,Bodies of Apostates of the Taliban Movement and Spoils From Allah on the Mujahideen in (Shirzad) in Nangarhar,Aftermath
972,46729,2019-06-29,Bodies of Apostates of the Taliban Movement and Spoils From Allah on the Mujahideen in (Shirzad) in Nangarhar,Aftermath
973,46730,2019-06-29,Bodies of Apostates of the Taliban Movement and Spoils From Allah on the Mujahideen in (Shirzad) in Nangarhar,"Captured Weapons,RPG"
974,46846,2019-06-06,Caravan of the Martyrs: The Pilgrim Abu Ahmad al-Jazrawi - May Allah Almighty Accept Him -,Aftermath
975,47008,2019-07-12,Spoils Bestowed By Allah on Soldiers of the Caliphate in Their Assault on Taliban Apostates in Nangarhar,"Captured Weapons,RPG,ID Cards"
976,47053,2019-07-12,The Martyr Khalid al-Ansari the Raider on a Gathering of Clan Leaders Loyal to the Afghan Government in Nangarhar,Aftermath
977,47091,2019-07-15,Bodies of Destroyed Taliban Elements After Soldiers of the Caliphate Raiding on Their Sites in (Wadi Hasar) in Nangarhar,Aftermath
978,47092,2019-07-15,Bodies of Destroyed Taliban Elements After Soldiers of the Caliphate Raiding on Their Sites in (Wadi Hasar) in Nangarhar,Aftermath
979,47093,2019-07-15,Bodies of Destroyed Taliban Elements After Soldiers of the Caliphate Raiding on Their Sites in (Wadi Hasar) in Nangarhar,Aftermath
980,47101,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,Shooting
981,47102,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,
982,47103,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,
983,47104,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,
984,47105,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,Mortar
985,47106,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,Shooting
986,47107,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,Shooting
987,47108,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,RPG
